neighbourhood,average_rating
Agronomia,4.751388888888889
Almagro,4.770556070435589
Balvanera,4.736999012833169
Barracas,4.85683257918552
Belgrano,4.80834200260078
Boca,4.806145833333333
Boedo,4.820625
Caballito,4.7954039497307
Chacarita,4.819469696969697
Coghlan,4.8034693877551025
Colegiales,4.7973211567732115
Constitucion,4.771042780748663
Flores,4.796412213740458
Floresta,4.541724137931035
Liniers,4.821578947368421
Mataderos,4.571111111111112
Monserrat,4.703670793882011
Monte Castro,4.959090909090909
Nueva Pompeya,4.3175
Nuñez,4.828423645320197
Palermo,4.794800598205383
Parque Avellaneda,4.624545454545454
Parque Chacabuco,4.85484375
Parque Chas,4.801818181818183
Parque Patricios,4.838030303030303
Paternal,4.6866666666666665
Puerto Madero,4.853575949367088
Recoleta,4.786088335220838
Retiro,4.790147928994083
Saavedra,4.809081632653061
San Cristobal,4.777078651685393
San Nicolas,4.759341902313625
San Telmo,4.744519450800915
Velez Sarsfield,4.517333333333334
Versalles,4.958
Villa Crespo,4.784615384615385
Villa Del Parque,4.7838834951456315
Villa Devoto,4.83829268292683
Villa Gral. Mitre,4.86625
Villa Lugano,4.952
Villa Luro,4.7773076923076925
Villa Ortuzar,4.790392156862745
Villa Pueyrredon,4.819636363636364
Villa Real,4.93
Villa Riachuelo,
Villa Santa Rita,4.794827586206897
Villa Soldati,
Villa Urquiza,4.8482404692082115
