neighbourhood,average_listings_count,max_listings_count
Agronomia,4.95,36
Almagro,14.32,235
Balvanera,9.95,235
Barracas,6.81,51
Belgrano,18.04,235
Boca,6.27,136
Boedo,11.59,136
Caballito,10.65,235
Chacarita,16.87,235
Coghlan,5.27,124
Colegiales,15.01,235
Constitucion,15.38,235
Flores,4.95,136
Floresta,6.52,73
Liniers,9.43,36
Mataderos,2.76,8
Monserrat,32.75,235
Monte Castro,1.07,2
Nueva Pompeya,2.19,8
Nuñez,12.9,235
Palermo,20.78,235
Parque Avellaneda,2.43,5
Parque Chacabuco,3.41,75
Parque Chas,7.24,136
Parque Patricios,4.92,93
Paternal,5.17,60
Puerto Madero,14.6,206
Recoleta,17.39,235
Retiro,19.01,235
Saavedra,7.05,235
San Cristobal,7.79,136
San Nicolas,15.74,235
San Telmo,15.76,235
Velez Sarsfield,2.78,25
Versalles,3.22,5
Villa Crespo,13.09,235
Villa Del Parque,12.62,179
Villa Devoto,4.6,75
Villa Gral. Mitre,6.29,71
Villa Lugano,1.29,2
Villa Luro,3.25,34
Villa Ortuzar,10.93,136
Villa Pueyrredon,5.0,136
Villa Real,1.29,3
Villa Riachuelo,1.0,1
Villa Santa Rita,9.03,179
Villa Soldati,1.0,1
Villa Urquiza,9.09,136
